ConceptID;Estado;Término Preferido;Términos Sinónimos;Término Abreviado;Observación;Sensibilidad;Creación Nombre;Revisado;Consultar;Etiquetas;Riesgo Teratogénico;FFA ¦ Tipo FFA ¦ Orden;Condición de Venta;Unidad de U_Asist;Recomendaciones ¦ Receta ¦ Gestión ¦ Indicación ¦ Tipo Recomendación;Vía Administración ¦ Orden;Estado Prescripción;Cantidad de Volumen Total ¦ Unidad de Volumen;URL;Medicamento clínico especial;ConceptID Fármacos - Medicamento Básico ¦ Preferido Fármacos - Medicamento Básico ¦ Estado;ConceptID Fármacos - Sustancia ¦ Preferido Fármacos - Sustancia ¦ Orden ¦ Cantidad Potencia ¦ Unidad Potencia ¦ Cantidad PP ¦ Unidad PP ¦ Estado;ATC;Comercializado;ConceptID SNM ¦ Preferido SNM ¦ Tipo de Relación ¦ Grupo;CIE-10 ¦ Tipo de Relación
671851000167101;Vigente;linagliptina 5 mg comprimido;;;;Insensible;Manual;No;No;;; • 9786 ¦ comprimido ¦ Discreta ¦ 1;89 ¦ Receta Médica; • 9382 ¦ miligramo;; • 9437 ¦ oral ¦ 1;95 ¦ válido como MC prescribible;;;No;658871000167100 ¦ linagliptina ¦ Vigente ; • 657121000167107 ¦ linagliptina ¦ 1 ¦ 5.0 ¦ miligramo ¦ Vigente ;10527 ¦ linagliptina ¦ A10BH05;Si; • 703668001 ¦ linagliptina 5 mg, comprimido ¦ es un[a] ¦ 0;
671861000167103;Vigente;cloruro de potasio 0,15% (1,5 mg/mL) + cloruro de sodio 0,9% (9 mg/mL) inyectable;;;;Insensible;Manual;No;No;;; • 9764 ¦ inyectable ¦ Continua ¦ 1;89 ¦ Receta Médica; • 9384 ¦ mililitro;; • 9432 ¦ intravenosa ¦ 1;95 ¦ válido como MC prescribible;;;No;664971000167106 ¦ cloruro de potasio y cloruro de sodio ¦ Vigente ;" • 657811000167105 ¦ cloruro de potasio ¦ 1 ¦ 0.02 ¦ miliequivalente ¦ 1.0 ¦ mililitro ¦ Vigente 
 • 657411000167108 ¦ cloruro de sodio ¦ 2 ¦ 9.0 ¦ miligramo ¦ 1.0 ¦ mililitro ¦ Vigente ";;Si; • 373873005 ¦ producto biológico/farmacéutico ¦ es un[a] ¦ 0;
671871000167109;Vigente;clorfenamina 1,25 mg/5 mL + metamizol sódico 135 mg/5 mL solución oral;;;;Sensible;Manual;No;No;;; • 9749 ¦ solución oral ¦ Continua ¦ 1;89 ¦ Receta Médica; • 9384 ¦ mililitro;; • 9437 ¦ oral ¦ 1;95 ¦ válido como MC prescribible;120.0 ¦ mililitro;;No;667271000167108 ¦ clorfenamina + metamizol sódico ¦ Vigente ;" • 657761000167104 ¦ clorfenamina ¦ 2 ¦ 1.25 ¦ miligramo ¦ 5.0 ¦ mililitro ¦ Vigente 
 • 655131000167100 ¦ metamizol sódico ¦ 1 ¦ 135.0 ¦ miligramo ¦ 5.0 ¦ mililitro ¦ Vigente ";;Si; • 373873005 ¦ producto biológico/farmacéutico ¦ es un[a] ¦ 0;
671881000167106;Vigente;alprazolam 0,25 mg comprimido;;;;Insensible;Manual;No;No;;; • 9786 ¦ comprimido ¦ Discreta ¦ 1;91 ¦ Receta Médica Retenida; • 9382 ¦ miligramo;; • 9437 ¦ oral ¦ 1;95 ¦ válido como MC prescribible;;;No;669341000167101 ¦ alprazolam ¦ Vigente ; • 653471000167109 ¦ alprazolam ¦ 1 ¦ 0.25 ¦ miligramo ¦ Vigente ;13549 ¦ alprazolam ¦ N05BA12;Si; • 321241004 ¦ alprazolam, 250 mcg, comprimido ¦ es un[a] ¦ 0;
671891000167108;Vigente;ácido acetilsalicílico 300 mg + cafeína 45 mg + paracetamol 200 mg comprimido;;;;Insensible;Manual;Si;No;;; • 9786 ¦ comprimido ¦ Discreta ¦ 1;90 ¦ Directa; • 9355 ¦ comprimido;; • 9437 ¦ oral ¦ 1;95 ¦ válido como MC prescribible;;;No;671351000167109 ¦ ácido acetilsalicílico + cafeína + paracetamol ¦ Vigente ;" • 652041000167104 ¦ ácido acetilsalicílico ¦ 1 ¦ 300.0 ¦ miligramo ¦ Vigente 
 • 654521000167108 ¦ cafeína ¦ 2 ¦ 45.0 ¦ miligramo ¦ Vigente 
 • 658371000167108 ¦ paracetamol ¦ 3 ¦ 200.0 ¦ miligramo ¦ Vigente ";;Si; • 373873005 ¦ producto biológico/farmacéutico ¦ es un[a] ¦ 0;
671901000167109;Vigente;fluticasona furoato 184 mcg/dosis + vilanterol 22 mcg/dosis polvo para inhalación;;;;Insensible;Manual;No;No;;; • 9750 ¦ polvo para inhalación ¦ Continua ¦ 1;91 ¦ Receta Médica Retenida; • 9358 ¦ dosis;; • 9420 ¦ inhalatoria oral ¦ 1;95 ¦ válido como MC prescribible;;;No;671151000167107 ¦ fluticasona furoato + vilanterol ¦ Vigente ;" • 651981000167102 ¦ vilanterol ¦ 1 ¦ 22.0 ¦ microgramo ¦ 1.0 ¦ dosis ¦ Vigente 
 • 648401000167107 ¦ fluticasona furoato ¦ 0 ¦ 184.0 ¦ microgramo ¦ 1.0 ¦ dosis ¦ Vigente ";;Si; • 373873005 ¦ producto biológico/farmacéutico ¦ es un[a] ¦ 0;
671911000167106;Vigente;clorfenamina 0,5 mg/5 mL + codeína 10 mg/5 mL + pseudoefedrina clorhidrato 7,5 mg/5 mL + tolú extracto 0,05 mL/5 mL solución oral;;;;Insensible;Manual;No;No;;; • 9749 ¦ solución oral ¦ Continua ¦ 1;91 ¦ Receta Médica Retenida; • 9384 ¦ mililitro;; • 9437 ¦ oral ¦ 1;95 ¦ válido como MC prescribible;;;No;667831000167105 ¦ clorfenamina + codeína + pseudoefedrina clorhidrato + tolú extracto ¦ Vigente ;" • 657761000167104 ¦ clorfenamina ¦ 1 ¦ 0.5 ¦ miligramo ¦ 5.0 ¦ mililitro ¦ Vigente 
 • 650661000167109 ¦ codeína ¦ 2 ¦ 10.0 ¦ miligramo ¦ 5.0 ¦ mililitro ¦ Vigente 
 • 653751000167106 ¦ pseudoefedrina clorhidrato ¦ 4 ¦ 7.5 ¦ miligramo ¦ 5.0 ¦ mililitro ¦ Vigente 
 • 650591000167100 ¦ tolú extracto ¦ 3 ¦ 0.05 ¦ mililitro ¦ 5.0 ¦ mililitro ¦ Vigente ";;Si; • 373873005 ¦ producto biológico/farmacéutico ¦ es un[a] ¦ 0;
671921000167101;Vigente;dapsona 5% (50 mg/g) gel;;;;Insensible;Manual;No;No;;; • 9775 ¦ gel ¦ Discreta ¦ 1;89 ¦ Receta Médica; • 9329 ¦ aplicación;; • 9446 ¦ tópica ¦ 1;95 ¦ válido como MC prescribible;;;No;669771000167107 ¦ dapsona ¦ Vigente ; • 649521000167106 ¦ dapsona ¦ 1 ¦ 50.0 ¦ miligramo ¦ 1.0 ¦ gramo ¦ Vigente ;11816 ¦ dapsona ¦ D10AX05;Si; • 373873005 ¦ producto biológico/farmacéutico ¦ es un[a] ¦ 0;
671931000167104;Vigente;armodafinilo 50 mg comprimido;;;;Insensible;Manual;No;No;;; • 9786 ¦ comprimido ¦ Discreta ¦ 1;91 ¦ Receta Médica Retenida; • 9382 ¦ miligramo;; • 9437 ¦ oral ¦ 1;95 ¦ válido como MC prescribible;;;No;668781000167102 ¦ armodafinilo ¦ Vigente ; • 658471000167103 ¦ armodafinilo ¦ 1 ¦ 50.0 ¦ miligramo ¦ Vigente ;;Si; • 428084003 ¦ armodafinilo, 50 mg, comprimido ¦ es un[a] ¦ 0;
671941000167107;Vigente;metoprolol 100 mg comprimido liberación modificada;;;;Insensible;Manual;No;No;;; • 9785 ¦ comprimido liberación modificada ¦ Discreta ¦ 1;89 ¦ Receta Médica; • 9382 ¦ miligramo;; • 9437 ¦ oral ¦ 1;95 ¦ válido como MC prescribible;;;No;670491000167104 ¦ metoprolol ¦ Vigente ; • 654971000167102 ¦ metoprolol ¦ 1 ¦ 100.0 ¦ miligramo ¦ Vigente ;11273 ¦ metoprolol ¦ C07AB02;Si; • 377025000 ¦ succinato de metoprolol, 100 mg, comprimido de liberación modificada ¦ es un[a] ¦ 0;
671951000167105;Vigente;aciclovir 800 mg comprimido;;;;Insensible;Manual;No;No;;; • 9786 ¦ comprimido ¦ Discreta ¦ 1;89 ¦ Receta Médica; • 9382 ¦ miligramo;; • 9437 ¦ oral ¦ 1;95 ¦ válido como MC prescribible;;;No;662861000167104 ¦ aciclovir ¦ Vigente ; • 658411000167107 ¦ aciclovir ¦ 1 ¦ 800.0 ¦ miligramo ¦ Vigente ;12566 ¦ aciclovir ¦ J05AB01;Si; • 324744007 ¦ aciclovir, 800 mg, comprimido ¦ es un[a] ¦ 0;
671961000167108;Vigente;ácido cítrico 1000 mg + citrato de potasio 3300 mg (potasio 30,5 mEq) granulado;;;;Insensible;Manual;No;No;;; • 9767 ¦ granulado ¦ Discreta ¦ 1;89 ¦ Receta Médica; • 9400 ¦ sobre;; • 9437 ¦ oral ¦ 1;95 ¦ válido como MC prescribible;;;No;659781000167104 ¦ ácido cítrico + citrato de potasio ¦ Vigente ;" • 656261000167109 ¦ ácido cítrico ¦ 1 ¦ 1000.0 ¦ miligramo ¦ 1.0 ¦ mililitro ¦ Vigente 
 • 651561000167103 ¦ citrato de potasio ¦ 2 ¦ 3300.0 ¦ miligramo ¦ 1.0 ¦ mililitro ¦ Vigente ";;Si; • 373873005 ¦ producto biológico/farmacéutico ¦ es un[a] ¦ 0;
671971000167102;Vigente;tetraciclina 500 mg cápsula;;;;Insensible;Manual;No;No;;; • 9794 ¦ cápsula ¦ Discreta ¦ 1;89 ¦ Receta Médica; • 9382 ¦ miligramo;; • 9437 ¦ oral ¦ 1;95 ¦ válido como MC prescribible;;;No;666871000167109 ¦ tetraciclina ¦ Vigente ; • 656241000167108 ¦ tetraciclina ¦ 1 ¦ 500.0 ¦ miligramo ¦ Vigente ;12296 ¦ tetraciclina ¦ J01AA07;Si; • 374238006 ¦ tetraciclina, 500 mg, cápsula ¦ es un[a] ¦ 0;
671981000167100;Vigente;ranitidina 50 mg/5 mL (10 mg/mL) inyectable;;;;Sensible;Manual;No;No;;; • 9764 ¦ inyectable ¦ Continua ¦ 1;89 ¦ Receta Médica; • 9382 ¦ miligramo;; • 9432 ¦ intravenosa ¦ 1;95 ¦ válido como MC prescribible;;;No;663961000167102 ¦ ranitidina ¦ Vigente ; • 650751000167103 ¦ ranitidina ¦ 1 ¦ 50.0 ¦ miligramo ¦ 5.0 ¦ mililitro ¦ Vigente ;10213 ¦ ranitidina ¦ A02BA02;Si; • 373873005 ¦ producto biológico/farmacéutico ¦ es un[a] ¦ 0;
671991000167103;Vigente;nifedipino 20 mg comprimido liberación modificada;;;;Insensible;Manual;No;No;;; • 9785 ¦ comprimido liberación modificada ¦ Discreta ¦ 1;89 ¦ Receta Médica; • 9382 ¦ miligramo;; • 9437 ¦ oral ¦ 1;95 ¦ válido como MC prescribible;;;No;658791000167108 ¦ nifedipino ¦ Vigente ; • 653241000167103 ¦ nifedipino ¦ 1 ¦ 20.0 ¦ miligramo ¦ Vigente ;11383 ¦ nifedipina ¦ C08CA05;Si; • 319277008 ¦ nifedipino, 20 mg, comprimido de liberación modificada ¦ es un[a] ¦ 0;
672001000167100;Vigente;leucovorina 100 mg/10 mL (10 mg/mL) inyectable;;;;Insensible;Manual;No;No;;; • 9764 ¦ inyectable ¦ Continua ¦ 1;89 ¦ Receta Médica; • 9382 ¦ miligramo;;" • 9432 ¦ intravenosa ¦ 1
 • 9425 ¦ intramuscular ¦ 2";95 ¦ válido como MC prescribible;;;No;659081000167102 ¦ leucovorina ¦ Vigente ; • 657331000167107 ¦ leucovorina ¦ 1 ¦ 100.0 ¦ miligramo ¦ 10.0 ¦ mililitro ¦ Vigente ;14529 ¦ folinato de calcio ¦ V03AF03;Si; • 373873005 ¦ producto biológico/farmacéutico ¦ es un[a] ¦ 0;
672011000167103;Vigente;paclitaxel unido a albúmina 100 mg inyectable;;;;Insensible;Manual;No;No;;; • 9764 ¦ inyectable ¦ Continua ¦ 1;89 ¦ Receta Médica; • 9382 ¦ miligramo;; • 9432 ¦ intravenosa ¦ 1;95 ¦ válido como MC prescribible;;;No;662821000167106 ¦ paclitaxel unido a albúmina ¦ Vigente ; • 651301000167105 ¦ paclitaxel unido a albúmina ¦ 1 ¦ 100.0 ¦ miligramo ¦ Vigente ;12858 ¦ paclitaxel ¦ L01CD01;Si; • 416803003 ¦ paclitaxel, 100 mg, polvo ligado a albúmina para suspensión inyectable, vial ¦ es un[a] ¦ 0;
672021000167108;Vigente;permetrina 1% (10 mg/mL) champú;;;;Insensible;Manual;No;No;;; • 9790 ¦ champú ¦ Continua ¦ 1;89 ¦ Receta Médica; • 9329 ¦ aplicación;; • 9446 ¦ tópica ¦ 1;95 ¦ válido como MC prescribible;;;No;659091000167100 ¦ permetrina ¦ Vigente ; • 658551000167105 ¦ permetrina ¦ 1 ¦ 10.0 ¦ miligramo ¦ 1.0 ¦ mililitro ¦ Vigente ;13858 ¦ permetrina ¦ P03AC04;Si; • 373873005 ¦ producto biológico/farmacéutico ¦ es un[a] ¦ 0;
672031000167105;Vigente;tetraciclina 250 mg cápsula;;;;Insensible;Manual;No;No;;; • 9794 ¦ cápsula ¦ Discreta ¦ 1;89 ¦ Receta Médica; • 9382 ¦ miligramo;; • 9437 ¦ oral ¦ 1;95 ¦ válido como MC prescribible;;;No;666871000167109 ¦ tetraciclina ¦ Vigente ; • 656241000167108 ¦ tetraciclina ¦ 1 ¦ 250.0 ¦ miligramo ¦ Vigente ;12296 ¦ tetraciclina ¦ J01AA07;Si; • 324011006 ¦ tetraciclina, 250 mg, cápsula ¦ es un[a] ¦ 0;
672041000167102;Vigente;hedera helix extracto estandarizado 70 mg/5 mL solución oral;;;;Insensible;Manual;No;No;;; • 9749 ¦ solución oral ¦ Continua ¦ 1;90 ¦ Directa; • 9384 ¦ mililitro;; • 9437 ¦ oral ¦ 1;95 ¦ válido como MC prescribible;;;No;661531000167101 ¦ hedera helix extracto estandarizado ¦ Vigente ; • 657971000167108 ¦ hedera helix extracto estandarizado ¦ 1 ¦ 70.0 ¦ miligramo ¦ 5.0 ¦ mililitro ¦ Vigente ;14107 ¦ Hederae helicis folium ¦ R05CA12;Si; • 373873005 ¦ producto biológico/farmacéutico ¦ es un[a] ¦ 0;
672051000167104;Vigente;clorazepato dipotásico 5 mg cápsula;;;;Insensible;Manual;No;No;;; • 9794 ¦ cápsula ¦ Discreta ¦ 1;91 ¦ Receta Médica Retenida; • 9382 ¦ miligramo;; • 9437 ¦ oral ¦ 1;95 ¦ válido como MC prescribible;;;No;666041000167108 ¦ clorazepato dipotásico ¦ Vigente ; • 652651000167107 ¦ clorazepato dipotásico ¦ 1 ¦ 5.0 ¦ miligramo ¦ Vigente ;13555 ¦ clorazepato de potasio ¦ N05BA05;Si; • 373873005 ¦ producto biológico/farmacéutico ¦ es un[a] ¦ 0;
672061000167101;Vigente;diclofenaco sódico 50 mg supositorio;;;;Insensible;Manual;No;No;;; • 9740 ¦ supositorio ¦ Discreta ¦ 1;89 ¦ Receta Médica; • 9382 ¦ miligramo;; • 9440 ¦ rectal ¦ 1;95 ¦ válido como MC prescribible;;;No;666551000167104 ¦ diclofenaco sódico ¦ Vigente ; • 649961000167106 ¦ diclofenaco sódico ¦ 1 ¦ 50.0 ¦ miligramo ¦ Vigente ;13039 ¦ diclofenaco ¦ M01AB05;Si; • 329563007 ¦ diclofenaco sódico, 50mg, supositorio ¦ es un[a] ¦ 0;
672071000167107;Vigente;meloxicam 15 mg comprimido;;;;Insensible;Manual;No;No;;; • 9786 ¦ comprimido ¦ Discreta ¦ 1;89 ¦ Receta Médica; • 9382 ¦ miligramo;; • 9437 ¦ oral ¦ 1;95 ¦ válido como MC prescribible;;;No;664681000167103 ¦ meloxicam ¦ Vigente ; • 654381000167104 ¦ meloxicam ¦ 1 ¦ 15.0 ¦ miligramo ¦ Vigente ;13063 ¦ meloxicam ¦ M01AC06;Si; • 329928008 ¦ meloxicam, 15 mg, comprimido ¦ es un[a] ¦ 0;
672081000167109;Vigente;mupirocina 2% (20 mg/g) ungüento nasal;;;;Insensible;Manual;No;No;;; • 9735 ¦ ungüento nasal ¦ Discreta ¦ 1;89 ¦ Receta Médica; • 9329 ¦ aplicación;; • 9415 ¦ endonasal ¦ 1;95 ¦ válido como MC prescribible;;;No;668531000167109 ¦ mupirocina ¦ Vigente ; • 658461000167109 ¦ mupirocina ¦ 1 ¦ 20.0 ¦ miligramo ¦ 1.0 ¦ gramo ¦ Vigente ;13891 ¦ mupirocina ¦ R01AX06;Si; • 373873005 ¦ producto biológico/farmacéutico ¦ es un[a] ¦ 0;
672091000167106;Vigente;sildenafil 50 mg cápsula;;;;Insensible;Manual;No;No;;; • 9794 ¦ cápsula ¦ Discreta ¦ 1;89 ¦ Receta Médica; • 9382 ¦ miligramo;; • 9437 ¦ oral ¦ 1;95 ¦ válido como MC prescribible;;;No;664641000167105 ¦ sildenafil ¦ Vigente ; • 655651000167104 ¦ sildenafil ¦ 1 ¦ 50.0 ¦ miligramo ¦ Vigente ;12136 ¦ sildenafilo ¦ G04BE03;Si; • 373873005 ¦ producto biológico/farmacéutico ¦ es un[a] ¦ 0;
672101000167104;Vigente;bromhexina 2 mg/5 mL + clofedianol 12,5 mg/5 mL solución oral;;;;Insensible;Manual;No;No;;; • 9749 ¦ solución oral ¦ Continua ¦ 1;89 ¦ Receta Médica; • 9384 ¦ mililitro;; • 9437 ¦ oral ¦ 1;95 ¦ válido como MC prescribible;;;No;661801000167109 ¦ bromhexina + clofedianol ¦ Vigente ;" • 648491000167101 ¦ clofedianol ¦ 2 ¦ 12.5 ¦ miligramo ¦ 5.0 ¦ mililitro ¦ Vigente 
 • 654161000167105 ¦ bromhexina ¦ 1 ¦ 2.0 ¦ miligramo ¦ 5.0 ¦ mililitro ¦ Vigente ";;Si; • 373873005 ¦ producto biológico/farmacéutico ¦ es un[a] ¦ 0;
672111000167102;Vigente;ácido acetilsalicílico 340 mg + cafeína 35 mg + clorfenamina 2 mg cápsula;;;;Insensible;Manual;Si;No;;; • 9794 ¦ cápsula ¦ Discreta ¦ 1;89 ¦ Receta Médica; • 9343 ¦ cápsula;; • 9437 ¦ oral ¦ 1;95 ¦ válido como MC prescribible;;;No;659411000167103 ¦ ácido acetilsalicílico + cafeína + clorfenamina ¦ Vigente ;" • 652041000167104 ¦ ácido acetilsalicílico ¦ 1 ¦ 340.0 ¦ miligramo ¦ Vigente 
 • 654521000167108 ¦ cafeína ¦ 2 ¦ 35.0 ¦ miligramo ¦ Vigente 
 • 657761000167104 ¦ clorfenamina ¦ 3 ¦ 2.0 ¦ miligramo ¦ Vigente ";;Si; • 373873005 ¦ producto biológico/farmacéutico ¦ es un[a] ¦ 0;
672121000167107;Vigente;calcio 3,5 mEq/L + dextrosa monohidrato 1,5% (15 g/L) + lactato 40 mEq/L + magnesio 0,5 mEq/L solución para peritoneodiálisis;;;;Insensible;Manual;No;No;;; • 9743 ¦ solución para peritoneodiálisis ¦ Continua ¦ 1;89 ¦ Receta Médica; • 9337 ¦ bolsa;; • 9427 ¦ intraperitoneal ¦ 1;94 ¦ nunca válido para prescribir como MC;;;No;667571000167105 ¦ calcio + dextrosa monohidrato + lactato + magnesio ¦ Vigente ;" • 654471000167106 ¦ calcio ¦ 1 ¦ 3.5 ¦ miliequivalente ¦ 1.0 ¦ lata ¦ Vigente 
 • 655881000167105 ¦ dextrosa monohidrato ¦ 2 ¦ 15.0 ¦ gramo ¦ 1.0 ¦ lata ¦ Vigente 
 • 648251000167109 ¦ magnesio ¦ 4 ¦ 0.5 ¦ miliequivalente ¦ 1.0 ¦ lata ¦ Vigente 
 • 655151000167106 ¦ lactato ¦ 3 ¦ 40.0 ¦ miliequivalente ¦ 1.0 ¦ lata ¦ Vigente ";;Si; • 373873005 ¦ producto biológico/farmacéutico ¦ es un[a] ¦ 0;
